,time,speed
369,1.07272,9.8
370,1.26418,8.3
371,1.11894,9.4
372,1.28432,8.2
373,1.03945,10.1
374,0.949543,11
375,1.0842,9.7
376,1.28444,8.2
377,1.26783,8.3
378,1.14309,9.2
379,1.04129,10.1
380,1.26769,8.3
381,1.05623,9.9
382,1.26997,8.3
383,1.03252,10.2
384,1.04486,10
385,1.27014,8.3
386,1.25284,8.4
387,1.27199,8.2
388,1.24844,8.4
389,1.24522,8.4
390,0.968104,10.8
391,1.09987,9.5
392,1.18663,8.8
393,1.1176,9.4
394,1.26882,8.3
395,1.04099,10.1
396,1.18222,8.9
397,1.18971,8.8
398,1.19615,8.8
399,1.1305,9.3
400,1.00197,10.5
401,1.26587,8.3
402,1.2621,8.3
403,1.26206,8.3
404,1.05345,10
405,1.16558,9
406,1.28115,8.2
407,1.25185,8.4
408,1.1642,9
409,1.10246,9.5
410,1.20747,8.7
411,1.24955,8.4
412,1.21245,8.6
413,1.26262,8.3
414,0.977404,10.7
415,1.2001,8.7
416,1.15986,9
417,1.09184,9.6
418,1.1651,9
419,1.01976,10.3
420,1.27017,8.3
421,1.08204,9.7
422,1.04524,10
423,1.22683,8.5
424,1.26449,8.3
425,1.27865,8.2
426,1.04651,10
427,1.24668,8.4
428,1.2541,8.4
429,1.02824,10.2
430,1.22095,8.6
431,1.13758,9.2
432,1.19264,8.8
433,0.974509,10.8
434,0.997526,10.5
435,1.02386,10.2
436,1.24226,8.4
437,1.28477,8.2
438,1.14955,9.1
439,1.27009,8.3
440,1.26129,8.3
441,0.97498,10.8
442,1.23904,8.5
443,1.26654,8.3
444,1.2657,8.3
445,1.25967,8.3
446,0.990882,10.6
447,1.1387,9.2
448,1.0276,10.2
449,1.22396,8.6
450,1.00367,10.4
451,0.959765,10.9
452,1.11583,9.4
453,1.26013,8.3
454,1.28655,8.2
455,1.18393,8.9
456,1.22437,8.6
457,1.28289,8.2
458,1.26738,8.3
459,1.26462,8.3
460,0.993101,10.6
461,1.20046,8.7
462,1.21094,8.7
463,1.03062,10.2
464,1.25954,8.3
465,1.10457,9.5
466,1.20739,8.7
467,0.981493,10.7
468,1.21708,8.6
469,1.23079,8.5
470,1.19706,8.8
471,1.23398,8.5
472,1.23639,8.5
473,1.26987,8.3
474,1.00774,10.4
475,1.00581,10.4
476,1.16988,9
477,0.966328,10.9
478,1.24827,8.4
479,1.22567,8.6
480,1.23568,8.5
481,1.12202,9.3
482,0.972089,10.8
483,1.19661,8.8
484,1.22662,8.5
485,1.27856,8.2
486,1.1235,9.3
487,0.988117,10.6
488,1.21425,8.6
489,1.02782,10.2
490,1.27249,8.2
491,1.1153,9.4
492,1.09003,9.6
493,1.2722,8.2
494,1.07906,9.7
495,1.17036,9
496,1.09927,9.5
497,1.14653,9.1
498,1.26068,8.3
499,1.17874,8.9
500,1.26674,8.3
