,time,speed
421,5.0499,2.1
422,0.861257,12.2
423,0.862756,12.2
424,0.994378,10.5
425,4.31622,2.4
426,2.10114,5
427,1.42173,7.4
428,1.61802,6.5
429,0.889899,11.8
430,2.13899,4.9
431,2.427,4.3
432,4.0595,2.6
433,4.65761,2.3
434,1.27575,8.2
435,1.87998,5.6
436,1.28026,8.2
437,1.28947,8.1
438,1.90114,5.5
439,1.26559,8.3
440,5.30149,2
441,0.861207,12.2
442,0.993069,10.6
443,0.853406,12.3
444,0.885019,11.8
445,1.43755,7.3
446,1.94817,5.4
447,2.20054,4.8
448,0.856783,12.2
449,2.02298,5.2
450,0.895424,11.7
451,0.873955,12
452,1.23778,8.5
453,1.00919,10.4
454,3.54982,3
455,6.52698,1.6
456,2.22913,4.7
457,1.24669,8.4
458,1.29774,8.1
459,1.86576,5.6
460,1.2661,8.3
461,4.61533,2.3
462,0.865716,12.1
463,0.926178,11.3
464,0.859785,12.2
465,0.999302,10.5
466,2.13536,4.9
467,1.18396,8.9
468,2.19577,4.8
469,1.77092,5.9
470,1.00756,10.4
471,1.20517,8.7
472,1.15849,9.1
473,0.948441,11.1
474,1.00945,10.4
475,2.42094,4.3
476,5.33353,2
477,1.34841,7.8
478,6.459,1.6
479,0.853434,12.3
480,2.50547,4.2
481,1.26212,8.3
482,1.90872,5.5
483,1.29283,8.1
484,1.34198,7.8
485,0.750311,14
486,0.854389,12.3
487,1.25968,8.3
488,1.42958,7.3
489,1.17817,8.9
490,0.851339,12.3
491,1.84571,5.7
492,0.886681,11.8
493,6.35799,1.6
494,1.58149,6.6
495,1.88076,5.6
496,0.857309,12.2
497,0.863317,12.1
498,1.52061,6.9
499,1.2285,8.5
500,1.17951,8.9
